id,device_id,timestamp,temperature,humidity
560,sensor-001,2025-12-12T09:43:14.757Z,22.63,45.63
559,sensor-001,2025-12-12T09:43:12.757Z,20.79,44.39
558,sensor-001,2025-12-12T09:43:10.749Z,21.89,49
557,sensor-001,2025-12-12T09:43:08.739Z,24.22,46.21
556,sensor-001,2025-12-12T09:43:06.738Z,23.21,43.91
555,sensor-001,2025-12-12T09:43:04.723Z,22.34,47.41
554,sensor-001,2025-12-12T09:43:02.717Z,24.72,43.48
553,sensor-001,2025-12-12T09:43:00.711Z,20.78,45.56
552,sensor-001,2025-12-12T09:42:58.708Z,22.75,42.73
551,sensor-001,2025-12-12T09:42:56.695Z,23.55,46
550,sensor-001,2025-12-12T09:42:54.694Z,23.6,43.88
549,sensor-001,2025-12-12T09:42:52.691Z,22.75,44.91
548,sensor-001,2025-12-12T09:42:50.684Z,22.63,46
547,sensor-001,2025-12-12T09:42:48.669Z,20,48.89
546,sensor-001,2025-12-12T09:42:46.657Z,21.11,43.02
545,sensor-001,2025-12-12T09:42:44.651Z,23.98,42.46
544,sensor-001,2025-12-12T09:42:42.644Z,22.03,47.74
543,sensor-001,2025-12-12T09:42:40.641Z,24.74,46.66
542,sensor-001,2025-12-12T09:42:38.636Z,23.63,43.99
541,sensor-001,2025-12-12T09:42:36.621Z,20.41,48.85
